index,prediction,,
38667,4.0 centimeter,,
38668,4.0 centimeter,,
38669,8.5 inch,,
38670,8.5 inch,,
38671,8.5 inch,,
38672,24.5 centimeter,,
38673,,,
38674,18.8 centimeter,,
38675,18.8 centimeter,,
38676,18.8 centimeter,,
38677,3.5 centimeter,,
38678,3.5 centimeter,,
38679,200.0 centimeter,,
38680,200.0 centimeter,,
38681,165.0 millimeter,,
38682,165.0 millimeter,,
38683,155.0 millimeter,,
38684,17.0 inch,,
38685,35.0 centimeter,,
38686,42.0 centimeter,,
38687,42.0 centimeter,,
38688,40.0 centimeter,,
38689,105.0 centimeter,,
38690,,,
38691,20.0 centimeter,,
38692,2.5 inch,,
38693,35.4 inch,,
38694,35.4 inch,,
38695,55.0 pound,,
38696,53.0 gram,,
38697,14.0 centimeter,,
38698,14.0 centimeter,,
38699,12.0 centimeter,,
38700,20.0 centimeter,,
38701,20.0 centimeter,,
38702,33.5 centimeter,,
38703,4.8 watt,,
38704,7.0 volt,,
38705,,,
38706,3.5 inch,,
38707,3.5 inch,,
38708,150.0 centimeter,,
38709,20.0 centimeter,,
38710,13.5 centimeter,,
38711,13.5 centimeter,,
38712,13.5 centimeter,,
38713,2.2 centimeter,,
38714,100.0 millimeter,,
38715,100.0 millimeter,,
38716,5.0 gram,,
38717,,,
38718,,,
38719,32.0 centimeter,,
38720,50.0 centimeter,,
38721,7.5 centimeter,,
38722,7.5 centimeter,,
38723,21.0 centimeter,,
38724,356.0 millimeter,,
38725,3.6 inch,,
38726,3.6 inch,,
38727,14.0 centimeter,,
38728,3.5 centimeter,,
38729,3.5 centimeter,,
38730,125.0 centimeter,,
38731,125.0 centimeter,,
38732,9.0 centimeter,,
38733,9.0 centimeter,,
38734,,,
38735,,,
38736,,,
38737,,,
38738,,,
38739,13.0 watt,,
38740,51.18 inch,,
38741,12.6 inch,,
38742,180.0 centimeter,,
38743,15.0 centimeter,,
38744,15.0 centimeter,,
38745,15.0 centimeter,,
38746,20.0 millimeter,,
38747,85.0 millimeter,,
38748,3.0 centimeter,,
38749,22.5 centimeter,,
38750,22.5 centimeter,,
38751,350.0 pound,,
38752,0.15 watt,,
38753,113.0 centimeter,,
38754,57.0 centimeter,,
38755,2.9 inch,,
38756,2.9 inch,,
38757,42.0 centimeter,,
38758,,,
38759,70.0 meter,,
38760,70.0 meter,,
38761,910.0 meter,,
38762,910.0 meter,,
38763,90.0 millimeter,,
38764,,,
38765,20.0 volt,,
38766,2.4 inch,,
38767,2.4 inch,,
38768,,,
38769,,,
38770,240.0 volt,,
38771,,,
38772,800.0 watt,,
38773,,,
38774,30.0 millimeter,,
38775,53.0 meter,,
38776,53.0 meter,,
38777,,,
38778,2.2 inch,,
38779,2.5 gram,,
38780,187.0 millimeter,,
38781,,,
38782,,,
38783,1.5 meter,,
38784,1.5 meter,,
38785,,,
38786,,,
38787,,,
38788,5.51 inch,,
38789,14.8 centimeter,,
38790,6.5 inch,,
38791,6.5 inch,,
38792,5.5 centimeter,,
38793,200.0 millimeter,,
38794,200.0 millimeter,,
38795,,,
38796,,,
38797,14.0 centimeter,,
38798,56.0 millimeter,,
38799,56.0 millimeter,,
38800,,,
38801,,,
38802,228.0 centimeter,,
38803,228.0 centimeter,,
38804,2.0 foot,,
38805,2.0 foot,,
38806,2.0 foot,,
38807,5.0 centimeter,,
38808,10.0 centimeter,,
38809,36.5 centimeter,,
38810,36.5 centimeter,,
38811,36.5 centimeter,,
38812,450.0 millimeter,,
38813,10.0 millimeter,,
38814,,,
38815,16.9 inch,,
38816,16.9 inch,,
38817,1.75 liter,,
38818,166.0 centimeter,,
38819,8.65 inch,,
38820,5.0 centimeter,,
38821,5.0 centimeter,,
38822,,,
38823,6.0 centimeter,,
38824,6.0 centimeter,,
38825,11.0 centimeter,,
38826,11.0 centimeter,,
38827,11.0 centimeter,,
38828,80.0 centimeter,,
38829,9.5 centimeter,,
38830,9.5 centimeter,,
38831,3.3 inch,,
38832,3.3 inch,,
38833,87.0 centimeter,,
38834,87.0 centimeter,,
38835,,,
38836,,,
38837,66.0 pound,,
38838,29.5 centimeter,,
38839,29.5 centimeter,,
38840,9.5 centimeter,,
38841,30.0 centimeter,,
38842,30.0 centimeter,,
38843,,,
38844,43.0 millimeter,,
38845,7.0 millimeter,,
38846,7.2 inch,,
38847,5.5 inch,,
38848,110.0 centimeter,,
38849,29.0 centimeter,,
38850,13.7 centimeter,,
38851,,,
38852,,,
38853,70010.0 millimeter,,
38854,1595.0 centimeter,,
38855,4.5 centimeter,,
38856,4.5 centimeter,,
38857,4.5 centimeter,,
38858,26.0 centimeter,,
38859,26.0 centimeter,,
38860,72.0 inch,,
38861,1.0 inch,,
38862,10.5 centimeter,,
38863,3.0 gallon,,
38864,7.5 centimeter,,
38865,7.5 centimeter,,
38866,15.7 inch,,
38867,15.7 inch,,
38868,25.0 centimeter,,
38869,25.0 centimeter,,
38870,38.0 centimeter,,
38871,11.6 inch,,
38872,11.6 inch,,
38873,13.0 centimeter,,
38874,0.75 millilitre,,
38875,2.8 inch,,
38876,85.0 millimeter,,
38877,50.0 centimeter,,
38878,50.0 centimeter,,
38879,200.0 millimeter,,
38880,200.0 millimeter,,
38881,200.0 millimeter,,
38882,2.0 volt,,
38883,160.0 centimeter,,
38884,160.0 centimeter,,
38885,160.0 centimeter,,
38886,250.0 gram,,
38887,133.0 centimeter,,
38888,3.5 inch,,
38889,3.5 inch,,
38890,330.0 pound,,
38891,54.0 millimeter,,
38892,54.0 millimeter,,
38893,0.5 centimeter,,
38894,0.5 centimeter,,
38895,7.5 centimeter,,
38896,7.5 centimeter,,
38897,20.0 gram,,
38898,18.0 centimeter,,
38899,0.5 inch,,
38900,0.5 inch,,
38901,0.5 inch,,
38902,,,
38903,,,
38904,,,
38905,3.5 inch,,
38906,45.0 millimeter,,
38907,7.5 centimeter,,
38908,29.0 centimeter,,
38909,120.0 centimeter,,
38910,120.0 centimeter,,
38911,100.0 gram,,
38912,105.0 centimeter,,
38913,105.0 centimeter,,
38914,105.0 centimeter,,
38915,20.0 centimeter,,
38916,20.0 centimeter,,
38917,40.0 centimeter,,
38918,6.5 centimeter,,
38919,30.0 centimeter,,
38920,,,
38921,,,
38922,32.0 inch,,
38923,32.0 inch,,
38924,2.7 meter,,
38925,2.7 meter,,
38926,42.0 centimeter,,
38927,42.0 centimeter,,
38928,40.0 millimeter,,
38929,330.0 pound,,
38930,94.5 pound,,
38931,,,
38932,9.5 centimeter,,
38933,,,
38934,24.0 centimeter,,
38935,24.0 centimeter,,
38936,24.0 centimeter,,
38937,365.0 millimeter,,
38938,365.0 millimeter,,
38939,175.0 centimeter,,
38940,2.0 inch,,
38941,2.0 inch,,
38942,50.0 centimeter,,
38943,,,
38944,2.5 centimeter,,
38945,10.0 centimeter,,
38946,,,
38947,60.0 centimeter,,
38948,72.0 millimeter,,
38949,3.4 pound,,
38950,2.3 centimeter,,
38951,2.3 centimeter,,
38952,70.0 centimeter,,
38953,5.0 volt,,
38954,42.0 gram,,
38955,3.0 meter,,
38956,3.0 meter,,
38957,5.8 centimeter,,
38958,1.33 pound,,
38959,1200.0 millimeter,,
38960,300.0 meter,,
38961,300.0 meter,,
38962,55.0 centimeter,,
38963,5.0 foot,,
38964,60.0 gram,,
38965,32.0 centimeter,,
38966,4.0 centimeter,,
38967,4.0 centimeter,,
38968,30.0 centimeter,,
38969,30.0 centimeter,,
38970,30.0 centimeter,,
38971,5.4 centimeter,,
38972,5.4 centimeter,,
38973,12.0 centimeter,,
38974,21.0 centimeter,,
38975,21.0 centimeter,,
38976,15.1 inch,,
38977,15.1 inch,,
38978,3000.0 pound,,
38979,40.0 centimeter,,
38980,24.0 centimeter,,
38981,1.1 inch,,
38982,1.1 inch,,
38983,48.0 inch,,
38984,26.5 centimeter,,
38985,26.5 centimeter,,
38986,26.5 centimeter,,
38987,100.0 millimeter,,
38988,15.0 centimeter,,
38989,,,
38990,,,
38991,100.0 centimeter,,
38992,18.0 centimeter,,
38993,0.46 kilogram,,
38994,73.0 millimeter,,
38995,96.0 watt,,
38996,,,
38997,230.0 millimeter,,
38998,12.0 centimeter,,
38999,12.0 centimeter,,
39000,71.0 centimeter,,
39001,250.0 millimeter,,
39002,,,
39003,7.5 centimeter,,
39004,7.5 centimeter,,
39005,,,
39006,,,
39007,9.64 inch,,
39008,9.64 inch,,
39009,9.64 inch,,
39010,333.0 millimeter,,
39011,,,
39012,-0.2 inch,,
39013,,,
39014,3.78 inch,,
39015,20.0 centimeter,,
39016,20.0 centimeter,,
39017,3.0 ounce,,
39018,16.0 centimeter,,
39019,16.0 centimeter,,
39020,3.66 inch,,
39021,3.7 volt,,
39022,13.0 centimeter,,
39023,13.0 centimeter,,
39024,14.0 centimeter,,
39025,14.0 centimeter,,
39026,6.1 centimeter,,
39027,6.1 centimeter,,
39028,,,
39029,67.0 millimeter,,
39030,67.0 millimeter,,
39031,29.52 inch,,
39032,29.52 inch,,
39033,29.52 inch,,
39034,132.0 pound,,
39035,3.6 centimeter,,
39036,19.0 centimeter,,
39037,36.25 centimeter,,
39038,20.0 pound,,
39039,180.0 centimeter,,
39040,92.0 centimeter,,
39041,2.75 inch,,
39042,2.75 inch,,
39043,10.0 centimeter,,
39044,10.0 centimeter,,
39045,50.0 centimeter,,
39046,15.5 centimeter,,
39047,15.5 centimeter,,
39048,15.5 centimeter,,
39049,2.5 inch,,
39050,2.5 inch,,
39051,2.5 inch,,
39052,4.3 centimeter,,
39053,4.3 centimeter,,
39054,20.0 centimeter,,
39055,0.63 inch,,
39056,,,
39057,,,
39058,15.0 centimeter,,
39059,30.0 centimeter,,
39060,30.0 centimeter,,
39061,830.0 gram,,
39062,12.0 centimeter,,
39063,12.0 centimeter,,
39064,2.0 meter,,
39065,2.0 meter,,
39066,0.4 inch,,
39067,0.4 inch,,
39068,8.25 inch,,
39069,8.25 inch,,
39070,3.0 centimeter,,
39071,3.0 centimeter,,
39072,1000.0 milligram,,
39073,7.86 inch,,
39074,7.86 inch,,
39075,7.86 inch,,
39076,7.9 inch,,
39077,85.0 millimeter,,
39078,85.0 millimeter,,
39079,85.0 millimeter,,
39080,44.0 centimeter,,
39081,1.77 inch,,
39082,1.77 inch,,
39083,,,
39084,1.18 inch,,
39085,1.18 inch,,
39086,1.18 inch,,
39087,3.0 centimeter,,
39088,41.5 volt,,
39089,,,
39090,24.8 gram,,
39091,,,
39092,6.5 millimeter,,
39093,12.2 inch,,
39094,75.0 millimeter,,
39095,75.0 millimeter,,
39096,11.0 inch,,
39097,11.0 inch,,
39098,,,
39099,0.8 ounce,,
39100,120.0 gram,,
39101,7.0 inch,,
39102,40.0 centimeter,,
39103,6.0 centimeter,,
39104,6.0 centimeter,,
39105,6.0 centimeter,,
39106,1.33 pound,,
39107,8.5 inch,,
39108,8.5 inch,,
39109,8.5 inch,,
39110,47.0 millimeter,,
39111,47.0 millimeter,,
39112,,,
39113,,,
39114,24.0 watt,,
39115,,,
39116,15.3 centimeter,,
39117,32.0 centimeter,,
39118,32.0 centimeter,,
39119,32.0 centimeter,,
39120,29.0 centimeter,,
39121,,,
39122,,,
39123,72.0 inch,,
39124,72.0 inch,,
39125,72.0 inch,,
39126,,,
39127,,,
39128,10.0 inch,,
39129,10.0 inch,,
39130,10.0 inch,,
39131,,,
39132,800.0 pound,,
39133,1.0 inch,,
39134,20.0 centimeter,,
39135,,,
39136,,,
39137,,,
39138,4.5 centimeter,,
39139,2.4 inch,,
39140,2.4 inch,,
39141,36.0 centimeter,,
39142,,,
39143,17.0 inch,,
39144,102.0 centimeter,,
39145,2830.0 gram,,
39146,5.0 inch,,
39147,150.0 millimeter,,
39148,150.0 millimeter,,
39149,,,
39150,,,
39151,60.0 centimeter,,
39152,12.0 volt,,
39153,6.18 inch,,
39154,1.97 inch,,
39155,40.0 centimeter,,
39156,36.0 volt,,
39157,,,
39158,,,
39159,18.0 millimeter,,
39160,18.0 millimeter,,
39161,18.0 millimeter,,
39162,10.5 centimeter,,
39163,55.0 millimeter,,
39164,0.8 ounce,,
39165,27.4 centimeter,,
39166,27.4 centimeter,,
39167,5.0 centimeter,,
39168,5.0 centimeter,,
39169,5.0 centimeter,,
39170,50.0 millimeter,,
39171,50.0 millimeter,,
39172,2.0 centimeter,,
39173,2.0 centimeter,,
39174,60.0 centimeter,,
39175,15.0 centimeter,,
39176,15.0 centimeter,,
39177,50.0 centimeter,,
39178,51.1 inch,,
39179,51.1 inch,,
39180,,,
39181,,,
39182,1500.0 watt,,
39183,8.0 millimeter,,
39184,8.0 millimeter,,
39185,8.9 centimeter,,
39186,80.0 centimeter,,
39187,125.0 millimeter,,
39188,125.0 millimeter,,
39189,25.0 centimeter,,
39190,25.0 centimeter,,
39191,25.0 centimeter,,
39192,23.9 centimeter,,
39193,1.2 centimeter,,
39194,,,
39195,3.0 pound,,
39196,40.0 centimeter,,
39197,40.0 centimeter,,
39198,40.0 centimeter,,
39199,340.0 gram,,
39200,0.105 millimeter,,
39201,0.105 millimeter,,
39202,32.0 centimeter,,
39203,,,
39204,11.6 inch,,
39205,11.6 inch,,
39206,11.6 inch,,
39207,10.0 kilogram,,
39208,450.0 pound,,
39209,35.0 centimeter,,
39210,35.0 centimeter,,
39211,100.0 centimeter,,
39212,100.0 centimeter,,
39213,2.8 inch,,
39214,,,
39215,,,
39216,,,
39217,1.0 ounce,,
39218,,,
39219,47.0 centimeter,,
39220,47.0 centimeter,,
39221,,,
39222,14.5 ounce,,
39223,7.5 centimeter,,
39224,7.5 centimeter,,
39225,7.87 inch,,
39226,7.87 inch,,
39227,7.87 inch,,
39228,4.72 inch,,
39229,4.72 inch,,
39230,6.3 inch,,
39231,6.3 inch,,
39232,44.0 centimeter,,
39233,44.0 centimeter,,
39234,,,
39235,,,
39236,9.06 inch,,
39237,9.06 inch,,
39238,40.0 centimeter,,
39239,6.0 gram,,
39240,,,
39241,,,
39242,,,
39243,,,
39244,5.7 kilogram,,
39245,60.0 centimeter,,
39246,400.0 gram,,
39247,23.0 millimeter,,
39248,23.0 millimeter,,
39249,51.0 millimeter,,
39250,51.0 millimeter,,
39251,,,
39252,,,
39253,74.0 centimeter,,
39254,1.18 inch,,
39255,1.18 inch,,
39256,1.5 inch,,
39257,16.0 centimeter,,
39258,16.0 centimeter,,
39259,1.0 gallon,,
39260,12.0 centimeter,,
39261,12.0 centimeter,,
39262,10.43 inch,,
39263,10.43 inch,,
39264,40.0 centimeter,,
39265,40.0 centimeter,,
39266,3.0 centimeter,,
39267,3.0 centimeter,,
39268,,,
39269,3.5 centimeter,,
39270,220.0 pound,,
39271,165.0 pound,,
39272,1.8 inch,,
39273,34.0 centimeter,,
39274,120.0 volt,,
39275,150.0 watt,,
39276,12.8 centimeter,,
39277,35.0 centimeter,,
39278,35.0 centimeter,,
39279,35.0 centimeter,,
39280,75.0 millimeter,,
39281,28.0 centimeter,,
39282,28.0 centimeter,,
39283,140.0 millimeter,,
39284,4.7 inch,,
39285,4.7 inch,,
39286,15.0 millimeter,,
39287,15.0 millimeter,,
39288,15.0 millimeter,,
39289,556.0 centimeter,,
39290,556.0 centimeter,,
39291,1070.0 millimeter,,
39292,100.0 millimeter,,
39293,100.0 millimeter,,
39294,100.0 millimeter,,
39295,58.0 millimeter,,
39296,35.0 centimeter,,
39297,180.0 centimeter,,
39298,18.5 centimeter,,
39299,18.5 centimeter,,
39300,4.72 inch,,
39301,4.72 inch,,
39302,5.0 foot,,
39303,5.0 foot,,
39304,6.7 centimeter,,
39305,6.7 centimeter,,
39306,132.0 centimeter,,
39307,,,
39308,11.0 centimeter,,
39309,1.7 inch,,
39310,1.7 inch,,
39311,5.0 inch,,
39312,5.0 inch,,
39313,,,
39314,,,
39315,,,
39316,1.0 inch,,
39317,1.0 inch,,
39318,24.0 millimeter,,
39319,24.0 millimeter,,
39320,,,
39321,,,
39322,3.1 inch,,
39323,13.0 gram,,
39324,14.0 centimeter,,
39325,37.5 centimeter,,
39326,35.3 centimeter,,
39327,3.93 inch,,
39328,3.93 inch,,
39329,40.0 watt,,
39330,110.0 volt,,
39331,43.0 centimeter,,
39332,43.0 centimeter,,
39333,43.0 centimeter,,
39334,,,
39335,40.0 centimeter,,
39336,40.0 centimeter,,
39337,15.0 centimeter,,
39338,,,
39339,18.0 centimeter,,
39340,65.0 centimeter,,
39341,,,
39342,300.0 pound,,
39343,15.0 centimeter,,
39344,83.5 centimeter,,
39345,31.5 inch,,
39346,31.5 inch,,
39347,31.5 inch,,
39348,1.9 inch,,
39349,90.0 centimeter,,
39350,180.0 kilogram,,
39351,,,
39352,14.0 centimeter,,
39353,14.0 centimeter,,
39354,85.0 millimeter,,
39355,85.0 millimeter,,
39356,85.0 millimeter,,
39357,,,
39358,,,
39359,19.68 inch,,
39360,10.0 millimeter,,
39361,10.0 millimeter,,
39362,14.15 inch,,
39363,650.0 millimeter,,
39364,5.9 inch,,
39365,5.9 inch,,
39366,350.0 pound,,
39367,5.31 inch,,
39368,7.2 centimeter,,
39369,7.2 centimeter,,
39370,,,
39371,,,
39372,14.0 millimeter,,
39373,14.0 millimeter,,
39374,8.0 centimeter,,
39375,8.0 centimeter,,
39376,8.0 centimeter,,
39377,910.0 millimeter,,
39378,910.0 millimeter,,
39379,1.9 inch,,
39380,1.9 inch,,
39381,53.7 inch,,
39382,117.0 centimeter,,
39383,16.1 centimeter,,
39384,16.1 centimeter,,
39385,450.0 pound,,
39386,9.0 centimeter,,
39387,2.8 inch,,
39388,26.0 centimeter,,
39389,23.0 centimeter,,
39390,,,
39391,3.45 inch,,
39392,2.0 centilitre,,
39393,165.0 millimeter,,
39394,165.0 millimeter,,
39395,165.0 millimeter,,
39396,,,
39397,,,
39398,5.0 millimeter,,
39399,500.0 millimeter,,
39400,27.0 centimeter,,
39401,4.8 centimeter,,
39402,4.8 centimeter,,
39403,2.2 inch,,
39404,41.2 volt,,
39405,500.0 gram,,
39406,12.0 volt,,
39407,,,
39408,45.0 centimeter,,
39409,55.0 centimeter,,
39410,55.0 centimeter,,
39411,55.0 millimeter,,
39412,55.0 millimeter,,
39413,14.0 centimeter,,
39414,14.0 centimeter,,
39415,104.0 centimeter,,
39416,4.0 gram,,
39417,17.0 inch,,
39418,17.0 inch,,
39419,17.0 inch,,
39420,10.6 inch,,
39421,92.0 centimeter,,
39422,92.0 centimeter,,
39423,5.0 centimeter,,
39424,5.0 centimeter,,
39425,10.0 centimeter,,
39426,153.0 centimeter,,
39427,153.0 centimeter,,
39428,6.0 millimeter,,
39429,6.0 millimeter,,
39430,3.14 inch,,
39431,3.14 inch,,
39432,257.0 millimeter,,
39433,257.0 millimeter,,
39434,24.0 centimeter,,
39435,10.0 centimeter,,
39436,,,
39437,8.0 inch,,
39438,8.0 inch,,
39439,8.3 centimeter,,
39440,8.3 centimeter,,
39441,,,
39442,17.8 centimeter,,
39443,17.8 centimeter,,
39444,17.8 centimeter,,
39445,1400.0 watt,,
39446,2.7 inch,,
39447,2.7 inch,,
39448,53.0 centimeter,,
39449,53.0 centimeter,,
39450,53.0 centimeter,,
39451,40.0 inch,,
39452,40.0 inch,,
39453,,,
39454,,,
39455,,,
39456,,,
39457,15.0 centimeter,,
39458,15.0 centimeter,,
39459,5.1 inch,,
39460,42.0 centimeter,,
39461,3.93 inch,,
39462,3.93 inch,,
39463,120.0 centimeter,,
39464,55.0 millimeter,,
39465,,,
39466,100.0 centimeter,,
39467,100.0 centimeter,,
39468,100.0 centimeter,,
39469,3.0 centimeter,,
39470,,,
39471,,,
39472,,,
39473,,,
39474,,,
39475,0.3 centimeter,,
39476,94.0 millimeter,,
39477,,,
39478,19.5 centimeter,,
39479,19.5 centimeter,,
39480,,,
39481,,,
39482,236.0 millimeter,,
39483,236.0 millimeter,,
39484,33.25 inch,,
39485,170.0 centimeter,,
39486,10.0 centimeter,,
39487,10.0 centimeter,,
39488,10.0 centimeter,,
39489,330.0 pound,,
39490,96.0 centimeter,,
39491,96.0 centimeter,,
39492,96.0 centimeter,,
39493,130.0 millimeter,,
39494,30.5 centimeter,,
39495,30.5 centimeter,,
39496,4.05 inch,,
39497,16.8 centimeter,,
39498,,,
39499,,,
39500,,,
39501,5.0 pound,,
39502,900.0 meter,,
39503,900.0 meter,,
39504,98.0 millimeter,,
39505,98.0 millimeter,,
39506,277.0 millimeter,,
39507,7.0 centimeter,,
39508,32.0 millimeter,,
39509,36.0 centimeter,,
39510,1.47 inch,,
39511,1.47 inch,,
39512,160.0 millimeter,,
39513,12.0 centimeter,,
39514,12.0 centimeter,,
39515,,,
39516,,,
39517,1.77 inch,,
39518,1.77 inch,,
39519,13.0 centimeter,,
39520,13.0 centimeter,,
39521,13.0 centimeter,,
39522,21.5 centimeter,,
39523,21.5 centimeter,,
39524,22.0 centimeter,,
39525,200.0 gram,,
39526,,,
39527,,,
39528,1.0 inch,,
39529,1.0 inch,,
39530,800.0 millimeter,,
39531,800.0 millimeter,,
39532,14.0 centimeter,,
39533,95.0 centimeter,,
39534,3.9 inch,,
39535,3.9 inch,,
39536,30.0 centimeter,,
39537,30.0 centimeter,,
39538,30.0 centimeter,,
39539,80.0 millimeter,,
39540,4.4 centimeter,,
39541,265.0 pound,,
39542,15.0 centimeter,,
39543,15.0 centimeter,,
39544,32.0 centimeter,,
39545,42.0 gram,,
39546,15.0 centimeter,,
39547,,,
39548,-1.57 inch,,
39549,148.0 millimeter,,
39550,148.0 millimeter,,
39551,16.0 centimeter,,
39552,16.0 centimeter,,
39553,15.0 centimeter,,
39554,15.0 centimeter,,
39555,,,
39556,,,
39557,,,
39558,3.73 inch,,
39559,3.73 inch,,
39560,26.0 centimeter,,
39561,26.0 centimeter,,
39562,5.0 watt,,
39563,,,
39564,,,
39565,8.9 inch,,
39566,8.9 inch,,
39567,8.9 inch,,
39568,22.8 centimeter,,
39569,22.8 centimeter,,
39570,22.8 centimeter,,
39571,,,
39572,7.09 inch,,
39573,2.0 kilogram,,
39574,2.5 centimeter,,
39575,2.5 centimeter,,
39576,2.5 centimeter,,
39577,,,
39578,70.0 millimeter,,
39579,70.0 millimeter,,
39580,70.0 millimeter,,
39581,45.0 centimeter,,
39582,45.0 centimeter,,
39583,3.0 centimeter,,
39584,16.1 centimeter,,
39585,16.1 centimeter,,
39586,,,
39587,115.0 volt,,
39588,700.0 watt,,
39589,,,
39590,40.0 centimeter,,
39591,40.0 centimeter,,
39592,93.0 centimeter,,
39593,25.1 inch,,
39594,17.0 centimeter,,
39595,80.0 millimeter,,
39596,80.0 millimeter,,
39597,80.0 millimeter,,
39598,25.32 ounce,,
39599,200.0 centimeter,,
39600,200.0 centimeter,,
39601,40.0 millimeter,,
39602,40.0 millimeter,,
39603,40.0 millimeter,,
39604,18.1 inch,,
39605,18.1 inch,,
39606,5.1 inch,,
39607,5.1 inch,,
39608,5.1 inch,,
39609,,,
39610,,,
39611,,,
39612,4.0 ounce,,
39613,,,
39614,30.0 centimeter,,
39615,38.0 centimeter,,
39616,33.0 pound,,
39617,147.0 centimeter,,
39618,110.0 millimeter,,
39619,110.0 millimeter,,
39620,110.0 millimeter,,
39621,9.0 meter,,
39622,27.0 centimeter,,
39623,27.0 centimeter,,
39624,8.0 centimeter,,
39625,15.0 centimeter,,
39626,,,
39627,,,
39628,20.0 volt,,
39629,5.0 centimeter,,
39630,,,
39631,16.0 centimeter,,
39632,16.0 centimeter,,
39633,16.0 centimeter,,
39634,,,
39635,,,
39636,12.0 centimeter,,
39637,12.0 centimeter,,
39638,,,
39639,0.94 inch,,
39640,0.94 inch,,
39641,274.0 centimeter,,
39642,50.0 gram,,
39643,0.18 inch,,
39644,250.0 pound,,
39645,,,
39646,,,
39647,,,
39648,50.0 centimeter,,
39649,50.0 centimeter,,
39650,50.0 centimeter,,
39651,11.5 centimeter,,
39652,11.5 centimeter,,
39653,16.53 inch,,
39654,26.0 centimeter,,
39655,26.0 centimeter,,
39656,137.0 centimeter,,
39657,5.5 centimeter,,
39658,1.4 ounce,,
39659,9.0 centimeter,,
39660,192.0 centimeter,,
39661,500.0 millilitre,,
39662,3.5 centimeter,,
39663,3.5 centimeter,,
39664,120.0 centimeter,,
39665,78.0 centimeter,,
39666,78.0 centimeter,,
39667,81.28 centimeter,,
39668,285.0 millimeter,,
39669,285.0 millimeter,,
39670,92.8 centimeter,,
39671,92.8 centimeter,,
39672,,,
39673,,,
39674,0.16 ounce,,
39675,165.0 gram,,
39676,59.0 millimeter,,
39677,59.0 millimeter,,
39678,,,
39679,80.0 millimeter,,
39680,11.0 kilogram,,
39681,11.0 kilogram,,
39682,200.0 millimeter,,
39683,30.0 centimeter,,
39684,30.0 centimeter,,
39685,14.2 inch,,
39686,14.2 inch,,
39687,14.2 inch,,
39688,,,
39689,35.0 centimeter,,
39690,35.0 centimeter,,
39691,274.0 centimeter,,
39692,274.0 centimeter,,
39693,1.2 centimeter,,
39694,1.2 centimeter,,
39695,1.2 centimeter,,
39696,13.5 centimeter,,
39697,7.0 inch,,
39698,,,
39699,,,
39700,11.4 inch,,
39701,11.4 inch,,
39702,19.5 centimeter,,
39703,19.5 centimeter,,
39704,3.5 inch,,
39705,3.5 inch,,
39706,7.9 inch,,
39707,150.0 centimeter,,
39708,150.0 centimeter,,
39709,,,
39710,,,
39711,50.0 meter,,
39712,50.0 meter,,
39713,250.0 millimeter,,
39714,61.0 millimeter,,
39715,61.0 millimeter,,
39716,2.4 inch,,
39717,,,
39718,35.0 millimeter,,
39719,,,
39720,,,
39721,7.4 volt,,
39722,,,
39723,2.4 volt,,
39724,120.0 millimeter,,
39725,120.0 millimeter,,
39726,60.0 millimeter,,
39727,60.0 millimeter,,
39728,,,
39729,200.0 millimeter,,
39730,79.0 centimeter,,
39731,6.5 centimeter,,
39732,6.5 centimeter,,
39733,6.5 centimeter,,
39734,3.0 ounce,,
39735,1.8 inch,,
39736,1.8 inch,,
39737,1.8 inch,,
39738,5.1 inch,,
39739,9.8 centimeter,,
39740,9.8 centimeter,,
39741,80.0 centimeter,,
39742,16.14 inch,,
39743,1.7 meter,,
39744,117.0 centimeter,,
39745,117.0 centimeter,,
39746,280.0 millimeter,,
39747,5.0 centimeter,,
39748,5.0 centimeter,,
39749,5.0 centimeter,,
39750,,,
39751,120.0 millimeter,,
39752,80.0 centimeter,,
39753,22.0 ton,,
39754,10.43 inch,,
39755,10.43 inch,,
39756,10.5 centimeter,,
39757,,,
39758,33.0 centimeter,,
39759,,,
39760,150.0 gram,,
39761,3.19 inch,,
39762,3.19 inch,,
39763,,,
39764,,,
39765,,,
39766,14.0 centimeter,,
39767,5.0 inch,,
39768,5.0 inch,,
39769,5.0 centimeter,,
39770,5.0 centimeter,,
39771,5.0 centimeter,,
39772,27.5 centimeter,,
39773,8.65 inch,,
39774,7.8 inch,,
39775,6.0 inch,,
39776,6.0 inch,,
39777,10.0 centimeter,,
39778,10.0 centimeter,,
39779,14.0 centimeter,,
39780,1.0 centimeter,,
39781,1.0 centimeter,,
39782,1.0 centimeter,,
39783,229.0 millimeter,,
39784,,,
39785,13.5 centimeter,,
39786,13.5 centimeter,,
39787,22.0 millimeter,,
39788,100.0 centimeter,,
39789,10.0 inch,,
39790,10.0 inch,,
39791,10.0 inch,,
39792,8.0 centimeter,,
39793,,,
39794,41.0 centimeter,,
39795,-12.4 inch,,
39796,8.5 centimeter,,
39797,68.0 gram,,
39798,9.6 inch,,
39799,,,
39800,,,
39801,20.0 centimeter,,
39802,,,
39803,,,
39804,,,
39805,15.0 gram,,
39806,90.0 centimeter,,
39807,90.0 centimeter,,
39808,,,
39809,5.5 centimeter,,
39810,10.0 centimeter,,
39811,6.1 inch,,
39812,6.1 inch,,
39813,55.0 millimeter,,
39814,55.0 millimeter,,
39815,9.0 centimeter,,
39816,17.5 centimeter,,
